[0.000000] (-) TimerEvent: {}
[0.000386] (-) JobUnselected: {'identifier': 'cv_bridge'}
[0.000478] (-) JobUnselected: {'identifier': 'diagnostic_aggregator'}
[0.000500] (-) JobUnselected: {'identifier': 'diagnostic_common_diagnostics'}
[0.000519] (-) JobUnselected: {'identifier': 'diagnostic_updater'}
[0.000537] (-) JobUnselected: {'identifier': 'diagnostics'}
[0.000555] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.000576] (-) JobUnselected: {'identifier': 'move_bot'}
[0.000620] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.000638] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.000653] (-) JobUnselected: {'identifier': 'pcl_msgs'}
[0.000667] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.000680] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.000694] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.000707] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.000720] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.000733] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.000745] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.000759] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.000772] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.000786] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.000799] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.000812] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.000825] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.000838] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.000851] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.000864] (-) JobUnselected: {'identifier': 'self_test'}
[0.000877] (-) JobUnselected: {'identifier': 'tfmini_s'}
[0.000890] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.001168] (-) EventReactorShutdown: {}
